symbol,price
FIOUSDT,0.01942
UMABTC,5.84e-05
UMAUSDT,1.51
EOSUPUSDT,0.2113
EOSDOWNUSDT,0.0003665
TRXUPUSDT,0.03854
TRXDOWNUSDT,1.139
XRPUPUSDT,0.0855
XRPDOWNUSDT,8.172e-05
DOTUPUSDT,0.096
DOTDOWNUSDT,16.737
SRMBIDR,26748.0
ONEBIDR,119.92
LINKTRY,124.4
USDTNGN,759.4
BELBNB,0.002382
BELBTC,2.171e-05
BELBUSD,0.5634
BELUSDT,0.5627
WINGBNB,0.04865
WINGBTC,0.0001651
SWRVBNB,0.001504
SWRVBUSD,0.5649
WINGBUSD,4.29
WINGUSDT,4.29
LTCUPUSDT,0.4801
LTCDOWNUSDT,2.2279
LENDBKRW,579.46
SXPEUR,0.2654
CREAMBNB,0.0723
CREAMBUSD,20.87
UNIBNB,0.0172
UNIBTC,0.0001571
UNIBUSD,4.07
UNIUSDT,4.066
NBSBTC,3.1e-07
NBSUSDT,0.00166
OXTBTC,2.02e-06
OXTUSDT,0.0524
SUNBTC,0.000711
SUNUSDT,0.00527
AVAXBNB,0.04918
AVAXBTC,0.000449
AVAXBUSD,11.64
AVAXUSDT,11.63
HNTBTC,0.0002357
HNTUSDT,4.67
BAKEBNB,0.000386
BURGERBNB,0.001536
SXPBIDR,19956.0
LINKBKRW,16948.99
FLMBNB,0.00333
FLMBTC,2.2e-06
FLMBUSD,0.2321
FLMUSDT,0.057
SCRTBTC,1.13e-05
SCRTETH,0.0001667
CAKEBNB,0.00596
CAKEBUSD,1.408
SPARTABNB,6.57e-05
UNIUPUSDT,1.055
UNIDOWNUSDT,2.172
ORNBTC,2.607e-05
ORNUSDT,0.6752
TRXNGN,20.71
SXPTRY,7.628
UTKBTC,2.63e-06
UTKUSDT,0.0681
XVSBNB,0.01395
XVSBTC,0.0001273
XVSBUSD,3.3
XVSUSDT,3.3
ALPHABNB,0.000299
ALPHABTC,3.95e-06
